phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6359034,http://soggerfpt.com/postale.fr/postale/ef2f3/,http://www.phishtank.com/phish_detail.php?phish_id=6359034,2020-01-16T03:00:49+00:00,yes,2020-01-16T03:11:24+00:00,yes,Other
6359033,http://soggerfpt.com/postale.fr/postale,http://www.phishtank.com/phish_detail.php?phish_id=6359033,2020-01-16T03:00:48+00:00,yes,2020-01-16T07:01:20+00:00,yes,Other
6359032,https://appgestao874-com-br.umbler.net/dados/,http://www.phishtank.com/phish_detail.php?phish_id=6359032,2020-01-16T03:00:45+00:00,yes,2020-01-16T03:12:47+00:00,yes,Other
6359030,https://appgestao874-com-br.umbler.net/dados,http://www.phishtank.com/phish_detail.php?phish_id=6359030,2020-01-16T03:00:43+00:00,yes,2020-01-16T03:14:55+00:00,yes,Other
6359023,http://oferta-relampago.net/00448541a094841f0644/index.php?&amp;id=13,http://www.phishtank.com/phish_detail.php?phish_id=6359023,2020-01-16T02:42:41+00:00,yes,2020-01-16T02:43:36+00:00,yes,Other
6359021,http://autorizador5.com.br/wp-includes/customize/paypal/account/verified/paypal/fr/login.php?cmd=_login-run&amp;,http://www.phishtank.com/phish_detail.php?phish_id=6359021,2020-01-16T02:04:40+00:00,yes,2020-01-16T03:07:55+00:00,yes,Other
6359020,http://signin.ebay.de.ws.eBayISAPI.dllMfcISAPICommandSignInWelcomesiteid77UsingSSL.my.ebay.de80.ws.eBayISAPI.dllMyeBaypp.futbubblegranada.es/asa/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6359020,2020-01-16T02:04:36+00:00,yes,2020-01-16T03:10:42+00:00,yes,Other
6358982,http://soggerfpt.com/postale.fr/postale/098cb/,http://www.phishtank.com/phish_detail.php?phish_id=6358982,2020-01-16T02:01:59+00:00,yes,2020-01-16T03:11:24+00:00,yes,Other
6358961,http://milhas-janeiro2020.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=6358961,2020-01-16T02:00:40+00:00,yes,2020-01-16T02:14:52+00:00,yes,Other
6358962,https://milhas-janeiro2020.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=6358962,2020-01-16T02:00:40+00:00,yes,2020-01-16T02:14:52+00:00,yes,Other
6358946,https://laruchesportive.ch/1/https/201.241.12.867534/banking.bancofalabella.com.co/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=6358946,2020-01-16T01:19:18+00:00,yes,2020-01-16T07:19:34+00:00,yes,Other
6358940,https://www.lonestarcommissary.com/Chase/Chasewithemail/login.php?cmd=login_submit&amp;id=2dae88512c3df0a768b72beae88feb092dae88512c3df0a768b72beae88feb09&amp;session=2dae88512c3df0a768b72beae88feb092dae88512c3df0a768b72beae88feb09,http://www.phishtank.com/phish_detail.php?phish_id=6358940,2020-01-16T01:00:36+00:00,yes,2020-01-16T07:20:16+00:00,yes,Other
6358939,https://www.rocketagencia.com/Itoken-30horas/atendimento/Inicial.php###,http://www.phishtank.com/phish_detail.php?phish_id=6358939,2020-01-16T01:00:35+00:00,yes,2020-01-16T01:11:25+00:00,yes,Other
6358935,http://rocketagencia.com/Itoken-30horas/atendimento/Inicial.php,http://www.phishtank.com/phish_detail.php?phish_id=6358935,2020-01-16T01:00:25+00:00,yes,2020-01-16T01:15:31+00:00,yes,Other
6358928,http://ofertadoano10-com-br.umbler.net/1840aigaga2518100074/index.php?&amp;id=3,http://www.phishtank.com/phish_detail.php?phish_id=6358928,2020-01-16T00:42:18+00:00,yes,2020-01-16T00:43:22+00:00,yes,Other
6358926,https://magazineluizaofertas.com/0244a0588880041auff0/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358926,2020-01-16T00:32:16+00:00,yes,2020-01-16T00:33:10+00:00,yes,Other
6358911,http://104.41.45.7/25181aihj521800084/index.php?o-de-panelas-tramontina-antiaderente-preto-10-pecas-turim/p/222404400/ud/panl/&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358911,2020-01-15T23:54:45+00:00,yes,2020-01-15T23:55:57+00:00,yes,Other
6358910,http://218.223.68.34.bc.googleusercontent.com/6akloia01744a577004/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358910,2020-01-15T23:54:04+00:00,yes,2020-01-15T23:55:16+00:00,yes,Other
6358909,http://magazinenovo.com/promocao.php,http://www.phishtank.com/phish_detail.php?phish_id=6358909,2020-01-15T23:53:21+00:00,yes,2020-01-15T23:53:51+00:00,yes,Other
6358908,http://magazineluizahtjaneiro.net/promocao.php,http://www.phishtank.com/phish_detail.php?phish_id=6358908,2020-01-15T23:52:44+00:00,yes,2020-01-15T23:53:51+00:00,yes,Other
6358902,http://lojamagaluliquidacao.com/Produto/atualizacao.php?dados=cliente,http://www.phishtank.com/phish_detail.php?phish_id=6358902,2020-01-15T23:42:08+00:00,yes,2020-01-15T23:42:46+00:00,yes,Other
6358899,https://megaofertamagaluiza.com/0244a0588880041auff0/index.php?&amp;id=1&amp;fbclid=IwAR07Ajl7LWVAXoZJ233p0w4pm1J-TA7UR-w6aoxBgH-OroSZnukI5qL-VrQ,http://www.phishtank.com/phish_detail.php?phish_id=6358899,2020-01-15T23:32:04+00:00,yes,2020-01-15T23:33:02+00:00,yes,Other
6358891,http://www.marvelstudyabroad.com/wp-includes/Requests/Auth/nab/login.htm,http://www.phishtank.com/phish_detail.php?phish_id=6358891,2020-01-15T23:23:27+00:00,yes,2020-01-16T01:31:12+00:00,yes,Other
6358868,http://zerajaneiro.com/6akloia01744a577004/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358868,2020-01-15T22:41:49+00:00,yes,2020-01-15T22:42:58+00:00,yes,Other
6358842,https://acessaacount.com/promo.html,http://www.phishtank.com/phish_detail.php?phish_id=6358842,2020-01-15T22:01:58+00:00,yes,2020-01-15T22:12:04+00:00,yes,Other
6358843,http://apenasparateste.000webhostapp.com/device/home/01,http://www.phishtank.com/phish_detail.php?phish_id=6358843,2020-01-15T22:01:58+00:00,yes,2020-01-15T22:11:23+00:00,yes,Other
6358844,http://apenasparateste.000webhostapp.com/device/home/01/,http://www.phishtank.com/phish_detail.php?phish_id=6358844,2020-01-15T22:01:58+00:00,yes,2020-01-15T22:11:23+00:00,yes,Other
6358841,https://acessaacount.com/envioemail.php,http://www.phishtank.com/phish_detail.php?phish_id=6358841,2020-01-15T22:01:57+00:00,yes,2020-01-15T22:10:00+00:00,yes,Other
6358840,http://apenasparateste.000webhostapp.com/device/,http://www.phishtank.com/phish_detail.php?phish_id=6358840,2020-01-15T22:01:18+00:00,yes,2020-01-15T22:10:00+00:00,yes,Other
6358839,http://apenasparateste.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358839,2020-01-15T22:01:17+00:00,yes,2020-01-15T22:12:04+00:00,yes,Other
6358838,https://sac-personalizado.000webhostapp.com/mlk/enter.php,http://www.phishtank.com/phish_detail.php?phish_id=6358838,2020-01-15T22:01:07+00:00,yes,2020-01-15T22:10:00+00:00,yes,Other
6358835,https://appgestao592-com-br.umbler.net/aguarde/,http://www.phishtank.com/phish_detail.php?phish_id=6358835,2020-01-15T22:01:01+00:00,yes,2020-01-15T22:12:45+00:00,yes,Other
6358834,https://appgestao592-com-br.umbler.net/aguarde,http://www.phishtank.com/phish_detail.php?phish_id=6358834,2020-01-15T22:00:57+00:00,yes,2020-01-15T22:12:45+00:00,yes,Other
6358833,https://sac-personalizado.000webhostapp.com/mlk/acesso.php,http://www.phishtank.com/phish_detail.php?phish_id=6358833,2020-01-15T22:00:38+00:00,yes,2020-01-15T22:09:18+00:00,yes,Other
6358819,http://smarttvempromo-com.umbler.net/Produto/?id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358819,2020-01-15T21:41:33+00:00,yes,2020-01-15T21:42:20+00:00,yes,Other
6358811,https://purchasetroubled.co.kr/monex.com.mx/BancaMonex/Login.html,http://www.phishtank.com/phish_detail.php?phish_id=6358811,2020-01-15T21:29:55+00:00,yes,2020-01-15T23:21:24+00:00,yes,Other
6358803,http://159.100.247.229/geo.php,http://www.phishtank.com/phish_detail.php?phish_id=6358803,2020-01-15T21:07:53+00:00,yes,2020-01-16T00:48:48+00:00,yes,Other
6358800,https://acessaacount.com/inicio.html,http://www.phishtank.com/phish_detail.php?phish_id=6358800,2020-01-15T21:01:20+00:00,yes,2020-01-15T21:14:48+00:00,yes,Other
6358797,http://bit.do/cartoes-itaucard,http://www.phishtank.com/phish_detail.php?phish_id=6358797,2020-01-15T21:00:42+00:00,yes,2020-01-15T21:15:29+00:00,yes,Other
6358795,https://acessaacount.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358795,2020-01-15T21:00:41+00:00,yes,2020-01-15T21:15:29+00:00,yes,Other
6358796,http://sac-personalizado.000webhostapp.com/mlk/home.php####,http://www.phishtank.com/phish_detail.php?phish_id=6358796,2020-01-15T21:00:41+00:00,yes,2020-01-15T21:10:00+00:00,yes,Other
6358794,http://acessaacount.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358794,2020-01-15T21:00:40+00:00,yes,2020-01-15T21:15:29+00:00,yes,Other
6358780,https://yawhoosupportplus.000webhostapp.com/css/NyahooPlus/NyahooPlus/Yahoo!MailUpgrade.html,http://www.phishtank.com/phish_detail.php?phish_id=6358780,2020-01-15T20:39:38+00:00,yes,2020-01-15T21:23:00+00:00,yes,Other
6358770,https://universityfire.co.kr/monex.com.mx/BancaMonex/Actualizar.html,http://www.phishtank.com/phish_detail.php?phish_id=6358770,2020-01-15T20:30:49+00:00,yes,2020-01-15T22:21:50+00:00,yes,Other
6358754,https://autotitlepawn.xyz/dlj/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358754,2020-01-15T20:19:25+00:00,yes,2020-01-15T21:03:36+00:00,yes,Other
6358691,http://sac-personalizado.000webhostapp.com/mlk/home.php,http://www.phishtank.com/phish_detail.php?phish_id=6358691,2020-01-15T20:01:43+00:00,yes,2020-01-15T20:09:57+00:00,yes,Other
6358690,http://itau.seuatendimento.com/financas/ltalite/promocao/descontao/card/cadastro/promocao.php,http://www.phishtank.com/phish_detail.php?phish_id=6358690,2020-01-15T20:01:42+00:00,yes,2020-01-15T20:15:26+00:00,yes,Other
6358688,http://itau.seuatendimento.com/financas/ltalite/promocao/descontao/card/home.php,http://www.phishtank.com/phish_detail.php?phish_id=6358688,2020-01-15T20:00:32+00:00,yes,2020-01-15T20:15:26+00:00,yes,Other
6358686,https://sac-personalizado.000webhostapp.com/mlk/home.php,http://www.phishtank.com/phish_detail.php?phish_id=6358686,2020-01-15T20:00:21+00:00,yes,2020-01-15T20:09:57+00:00,yes,Other
6358652,http://zonehmirrors.org/defaced/2019/09/11/magazinepromo.net/magazinepromo.net/,http://www.phishtank.com/phish_detail.php?phish_id=6358652,2020-01-15T19:31:00+00:00,yes,2020-01-15T19:32:47+00:00,yes,Other
6358649,http://magazineluizahtjaneiro.com/Produto/identificacao.php,http://www.phishtank.com/phish_detail.php?phish_id=6358649,2020-01-15T19:28:00+00:00,yes,2020-01-15T19:29:22+00:00,yes,Other
6358646,http://melhoresfazlu.com/site/5257iuhamkvnma024/index.php?o-de-panelas-tramontina-antiaderente-vermelho-7-pecas-turim/p/222404300/ud/panl/&amp;id=2,http://www.phishtank.com/phish_detail.php?phish_id=6358646,2020-01-15T19:25:28+00:00,yes,2020-01-15T19:26:37+00:00,yes,Other
6358641,http://eletromix-2020.com/545454SSiiDDDDD_55/index.php?rt-tv-led-32-samsung-j4290-wi-fi-2-hdmi-1-usb/p/193421800/et/elit/&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358641,2020-01-15T19:20:58+00:00,yes,2020-01-15T19:22:31+00:00,yes,Other
6358636,https://www21.inesquecivel-natal.com/prod2a17cc10620efa0566546e8d969e8a5flnk/ar-condicionado-split-hi-wall-12000-btus-electrolux-eco-turbo-q-f-220v-ve12r/p/6380150/ar/arar,http://www.phishtank.com/phish_detail.php?phish_id=6358636,2020-01-15T19:15:35+00:00,yes,2020-01-15T19:16:20+00:00,yes,Other
6358625,https://pontossemprepresente.com/sempre/presente/premios/de/montao/index.html,http://www.phishtank.com/phish_detail.php?phish_id=6358625,2020-01-15T19:01:23+00:00,yes,2020-01-15T19:14:57+00:00,yes,Other
6358605,https://0neofonedlive.freedynamicdns.net/o1/main.html,http://www.phishtank.com/phish_detail.php?phish_id=6358605,2020-01-15T18:46:58+00:00,yes,2020-01-15T19:17:02+00:00,yes,Microsoft
6358602,https://www-o8ikjlmbfouj1lyvrdj-ml.000webhostapp.com/help.htm,http://www.phishtank.com/phish_detail.php?phish_id=6358602,2020-01-15T18:42:53+00:00,yes,2020-01-15T18:55:05+00:00,yes,Facebook
6358600,http://www.eletromix-2020.com/545454SSiiDDDDD_55/index.php?rt-tv-led-32-samsung-j4290-wi-fi-2-hdmi-1-usb/p/193421800/et/elit/&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358600,2020-01-15T18:41:02+00:00,yes,2020-01-15T18:42:43+00:00,yes,Other
6358599,http://collage.hr/rysn/cfim.php,http://www.phishtank.com/phish_detail.php?phish_id=6358599,2020-01-15T18:40:49+00:00,yes,2020-01-15T18:41:18+00:00,yes,"ABSA Bank"
6358596,http://ofertas10-online.umbler.net/995a2sajkja_as_sapjf4/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358596,2020-01-15T18:31:10+00:00,yes,2020-01-15T18:32:58+00:00,yes,Other
6358576,https://imf-certificate.site/imgs/login.php?cmd=login_submit&id=NjYxMzkzNjg5NjYxMzkzNjg5&session=NjYxMzkzNjg5NjYxMzkzNjg5,http://www.phishtank.com/phish_detail.php?phish_id=6358576,2020-01-15T18:07:16+00:00,yes,2020-01-15T18:08:16+00:00,yes,"Internal Revenue Service"
6358568,http://www.suasmilhas.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358568,2020-01-15T18:00:47+00:00,yes,2020-01-15T18:15:08+00:00,yes,Other
6358567,https://acesignsolution.xyz/dhris/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358567,2020-01-15T18:00:36+00:00,yes,2020-01-15T19:17:02+00:00,yes,Other
6358564,https://appgestao592-com-br.umbler.net/dados/,http://www.phishtank.com/phish_detail.php?phish_id=6358564,2020-01-15T18:00:28+00:00,yes,2020-01-15T18:10:19+00:00,yes,Other
6358563,https://appgestao592-com-br.umbler.net/dados,http://www.phishtank.com/phish_detail.php?phish_id=6358563,2020-01-15T18:00:26+00:00,yes,2020-01-15T18:12:23+00:00,yes,Other
6358555,http://tustadoowe.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358555,2020-01-15T17:56:03+00:00,yes,2020-01-15T18:47:32+00:00,yes,Other
6358553,https://webportalbogotapersonal.com/b/enlinea/wps/portal/banco-de-bogota/bogota/personas.html,http://www.phishtank.com/phish_detail.php?phish_id=6358553,2020-01-15T17:51:40+00:00,yes,2020-01-15T18:13:46+00:00,yes,Other
6358550,https://www-safety77help-center.000webhostapp.com/help.htm,http://www.phishtank.com/phish_detail.php?phish_id=6358550,2020-01-15T17:46:00+00:00,yes,2020-01-15T18:14:27+00:00,yes,Facebook
6358545,https://4k-magazineluiza.myftp.org/lg-tv/60/smarttv4k60-lg-60um7270psa-wi-fihdrinteligenciaartificialcontrole-smart-magic.php?ass=0%b4_@dyin8ZKdiXak,http://www.phishtank.com/phish_detail.php?phish_id=6358545,2020-01-15T17:41:14+00:00,yes,2020-01-15T17:42:37+00:00,yes,Other
6358544,https://lg-magazineluiza.webhop.me/4ktv/LG-60/smart-tv-4k-led-60-lg-60um7270psa-wi-fi-hdr-inteligencia-artificial-controle-smart-magic.php?ass=GeKxono43WnBuPIyYWVyOHUxY,http://www.phishtank.com/phish_detail.php?phish_id=6358544,2020-01-15T17:41:07+00:00,yes,2020-01-15T17:42:37+00:00,yes,Other
6358543,https://4k-magazineluiza.servehttp.com/lg-tv/60/smarttv4k60-lg-60um7270psa-wi-fihdrinteligenciaartificialcontrole-smart-magic.php?ass=CePV%25Ty8fZigcPxVwrXfFEG9pAneucwH4xE1kVs4TyfI7B7Z_VI$02!DVkEf8oi1tX@,http://www.phishtank.com/phish_detail.php?phish_id=6358543,2020-01-15T17:41:00+00:00,yes,2020-01-15T17:42:37+00:00,yes,Other
6358539,http://adv-repair-16568020.16mb.com/recovery.html,http://www.phishtank.com/phish_detail.php?phish_id=6358539,2020-01-15T17:33:05+00:00,yes,2020-01-15T18:44:07+00:00,yes,Facebook
6358535,http://luxuaoextreme-com.umbler.net/novamente/Produto/?id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358535,2020-01-15T17:30:56+00:00,yes,2020-01-15T17:31:40+00:00,yes,Other
6358531,https://purchasepropelle.co.kr/monex.com.mx/BancaMonex/Login.html,http://www.phishtank.com/phish_detail.php?phish_id=6358531,2020-01-15T17:25:30+00:00,yes,2020-01-15T19:19:47+00:00,yes,Other
6358509,https://www.mywalletether.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358509,2020-01-15T17:01:41+00:00,yes,2020-01-15T17:19:20+00:00,yes,Other
6358506,http://eb5social.com/account_bankofamerica_login/thanks.php?cmd=login_submit&amp;idiiukzmumjqmyd4rxpwxr5qaviiukzmumjqmyd4rxpwxr5qav=,http://www.phishtank.com/phish_detail.php?phish_id=6358506,2020-01-15T17:00:32+00:00,yes,2020-01-15T17:46:03+00:00,yes,Other
6358492,http://cef.br.com,http://www.phishtank.com/phish_detail.php?phish_id=6358492,2020-01-15T16:52:24+00:00,yes,2020-01-15T16:57:20+00:00,yes,Caixa
6358486,https://help42111.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6358486,2020-01-15T16:45:12+00:00,yes,2020-01-15T16:55:17+00:00,yes,Facebook
6358475,https://sourcefabrics.co.za/css/currently/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358475,2020-01-15T16:32:18+00:00,yes,2020-01-15T17:30:18+00:00,yes,Other
6358462,https://www.taraphilippines.com/wp-admin/zugu/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358462,2020-01-15T16:21:16+00:00,yes,2020-01-15T17:30:18+00:00,yes,Other
6358446,https://theranch.me/cgi-bin/cox/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358446,2020-01-15T16:09:33+00:00,yes,2020-01-15T16:51:13+00:00,yes,Other
6358439,http://vocespediram2020.com/itaucard/acesso/beneficios/exclusivos,http://www.phishtank.com/phish_detail.php?phish_id=6358439,2020-01-15T16:00:34+00:00,yes,2020-01-15T16:08:52+00:00,yes,Other
6358440,https://vocespediram2020.com/itaucard/acesso/beneficios/exclusivos/,http://www.phishtank.com/phish_detail.php?phish_id=6358440,2020-01-15T16:00:34+00:00,yes,2020-01-15T16:08:11+00:00,yes,Other
6358375,https://itoken-gerenciamento.com/002.php,http://www.phishtank.com/phish_detail.php?phish_id=6358375,2020-01-15T15:05:55+00:00,yes,2020-01-15T15:18:21+00:00,yes,Other
6358374,https://rocketagencia.com/Itoken-30horas/mobile/ita3.php,http://www.phishtank.com/phish_detail.php?phish_id=6358374,2020-01-15T15:04:59+00:00,yes,2020-01-15T15:18:21+00:00,yes,Other
6358373,http://rocketagencia.com/Itoken-30horas/mobile/ita3.php,http://www.phishtank.com/phish_detail.php?phish_id=6358373,2020-01-15T15:04:46+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
6358372,https://itoken-gerenciamento.com/001.php,http://www.phishtank.com/phish_detail.php?phish_id=6358372,2020-01-15T15:04:35+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
6358371,http://rocketagencia.com/Itoken-30horas/mobile/ita2.php,http://www.phishtank.com/phish_detail.php?phish_id=6358371,2020-01-15T15:04:25+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
6358370,https://www.rocketagencia.com/Itoken-30horas/mobile/ita2.php,http://www.phishtank.com/phish_detail.php?phish_id=6358370,2020-01-15T15:04:15+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
6358369,http://ltaumobile.mobileacessar.club/,http://www.phishtank.com/phish_detail.php?phish_id=6358369,2020-01-15T15:04:05+00:00,yes,2020-01-15T15:19:44+00:00,yes,Other
6358368,https://ltaumobile.mobileacessar.club/mobile/control.php,http://www.phishtank.com/phish_detail.php?phish_id=6358368,2020-01-15T15:03:45+00:00,yes,2020-01-15T15:16:16+00:00,yes,Other
6358367,http://rocketagencia.com/Itoken-30horas/mobile/fisicaPF.php,http://www.phishtank.com/phish_detail.php?phish_id=6358367,2020-01-15T15:03:34+00:00,yes,2020-01-15T15:16:16+00:00,yes,Other
6358366,https://rocketagencia.com/Itoken-30horas/mobile/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358366,2020-01-15T15:03:24+00:00,yes,2020-01-15T15:16:16+00:00,yes,Other
6358363,http://rocketagencia.com/Itoken-30horas/mobile/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358363,2020-01-15T15:03:15+00:00,yes,2020-01-15T15:16:57+00:00,yes,Other
6358365,https://itoken-gerenciamento.com/concluir/cadastro/,http://www.phishtank.com/phish_detail.php?phish_id=6358365,2020-01-15T15:03:15+00:00,yes,2020-01-15T15:16:58+00:00,yes,Other
6358362,https://www.rocketagencia.com/Itoken-30horas/mobile/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6358362,2020-01-15T15:03:14+00:00,yes,2020-01-15T15:16:58+00:00,yes,Other
6358361,https://rocketagencia.com/Itoken-30horas/mobile/fisicaPF.php,http://www.phishtank.com/phish_detail.php?phish_id=6358361,2020-01-15T15:02:55+00:00,yes,2020-01-15T15:17:39+00:00,yes,Other
6358359,https://www.rocketagencia.com/Itoken-30horas/mobile/fisicaPF.php,http://www.phishtank.com/phish_detail.php?phish_id=6358359,2020-01-15T15:02:54+00:00,yes,2020-01-15T15:17:39+00:00,yes,Other
6358360,https://rocketagencia.com/Itoken-30horas/mobile/ita4.php,http://www.phishtank.com/phish_detail.php?phish_id=6358360,2020-01-15T15:02:54+00:00,yes,2020-01-15T15:17:39+00:00,yes,Other
6358358,https://www.rocketagencia.com/Itoken-30horas/mobile/ita3.php,http://www.phishtank.com/phish_detail.php?phish_id=6358358,2020-01-15T15:02:44+00:00,yes,2020-01-15T15:17:39+00:00,yes,Other
6358355,https://itoken-gerenciamento.com/cadastro/concluido,http://www.phishtank.com/phish_detail.php?phish_id=6358355,2020-01-15T15:02:34+00:00,yes,2020-01-15T15:18:21+00:00,yes,Other
6358356,https://itoken-gerenciamento.com/cadastro/concluido/,http://www.phishtank.com/phish_detail.php?phish_id=6358356,2020-01-15T15:02:34+00:00,yes,2020-01-15T15:18:21+00:00,yes,Other
6358349,http://service-confirmation.vitamins4living.net/mpp/cf2d47b39ccca561fa029329a9496ed4/personal.php,http://www.phishtank.com/phish_detail.php?phish_id=6358349,2020-01-15T15:01:58+00:00,yes,2020-01-15T16:08:12+00:00,yes,Other
6358347,http://service-confirmation.vitamins4living.net/mpp/d5b25cf10632f242ee280c0efa1a7478,http://www.phishtank.com/phish_detail.php?phish_id=6358347,2020-01-15T15:01:54+00:00,yes,2020-01-15T16:08:12+00:00,yes,Other
6358348,http://service-confirmation.vitamins4living.net/mpp/d5b25cf10632f242ee280c0efa1a7478/,http://www.phishtank.com/phish_detail.php?phish_id=6358348,2020-01-15T15:01:54+00:00,yes,2020-01-15T15:17:39+00:00,yes,Other
6358340,https://www.expresswaysuite.icu/mrc/sharepoint/sharepoint/management/xb,http://www.phishtank.com/phish_detail.php?phish_id=6358340,2020-01-15T15:01:17+00:00,yes,2020-01-15T19:58:55+00:00,yes,Other
6358327,http://dmall.com.br/att.net-sbc/ATT/8d6a71c3db9a233bb80ae2f0f12a2033,http://www.phishtank.com/phish_detail.php?phish_id=6358327,2020-01-15T15:00:34+00:00,yes,2020-01-15T20:00:18+00:00,yes,Other
6358322,http://magalu-janeiro.com/1840aigaga2518100074/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722%2Fp%2F144129900%2Fud%2Fpanl%2F%3Forigin=aut&amp;id=1&amp;fbclid=IwAR286PRUQdLg528eh7WN3oU5EOFmmGhgQ17aLXhclrham-AvUKE1ojBNqVM,http://www.phishtank.com/phish_detail.php?phish_id=6358322,2020-01-15T14:58:41+00:00,yes,2020-01-15T14:59:42+00:00,yes,Other
6358321,http://promomagazineluiza.com/5257iuhamkvnma024/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722%2Fp%2F144129900%2Fud%2Fpanl%2F%3Forigin&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6358321,2020-01-15T14:58:35+00:00,yes,2020-01-15T14:59:02+00:00,yes,Other
6358275,http://alliedgraniteworks.com/realhomeworx/Privacy/ppl/update/D79N7231MA/signin/,http://www.phishtank.com/phish_detail.php?phish_id=6358275,2020-01-15T14:07:14+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
6358273,http://alliedgraniteworks.com/realhomeworx/Privacy/ppl/update/A28AC1B9N8/signin/,http://www.phishtank.com/phish_detail.php?phish_id=6358273,2020-01-15T14:07:10+00:00,yes,2020-01-15T15:19:03+00:00,yes,Other
